UNIDADE;INSPECAO;Grupo;ITEM
50018562;5000012023;201;11
50018562;5000012023;646;2
50018619;5000022023;646;2
50018564;5000092023;646;2
50018555;5000102023;201;11
50018555;5000102023;646;2
50050825;5000112023;201;11
50050825;5000112023;646;2
50018620;5000122023;646;2
50052769;5000172023;646;2
50018603;5000182023;646;2
50018592;5000192023;646;2
50018586;5000202023;201;11
50018586;5000202023;646;2
50018578;5000222023;646;2
50018557;5000232023;646;2
50018544;5000242023;646;2
50018556;5000262023;201;11
50018556;5000262023;646;2
50018561;5000282023;201;11
50018561;5000282023;646;2
50018565;5000292023;646;2
50018566;5000302023;201;11
50018566;5000302023;646;2
50018585;5000312023;201;11
50018585;5000312023;646;2
50018559;5000322023;646;2
50018628;5000342023;646;2
50051430;5000362023;646;2
50018604;5000382023;646;2
50018632;5000392023;201;11
50018632;5000392023;646;2
50047293;5000412023;646;2
50047293;5000412023;646;3
50236838;5000422023;646;2
50018543;5000442023;646;2
50018548;5000462023;646;2
50018630;5000472023;646;2
50018590;5000562023;201;11
50018590;5000562023;646;2
50052771;5000572023;646;2
50018583;5000592023;646;2
50018542;5000602023;646;2
50044032;5000612023;646;2
50018552;5000682023;646;2
50236752;5000692023;646;2
50018623;5000702023;646;2
50029270;5000712023;646;2
50018593;5000722023;646;2
50042756;5000732023;646;2
50018611;5000742023;646;2
50018588;5000752023;646;2
50018625;5000802023;646;2
50018613;5000852023;646;2
50018605;5000892023;646;2
50029272;5000912023;646;2
50018550;5000922023;646;2
50058561;5000932023;646;2
50018622;5000952023;646;2
50018615;5000972023;201;11
50018615;5000972023;646;2
50018573;5000982023;646;2
50018610;5001022023;201;11
50018610;5001022023;646;2
50424971;5001032023;646;1
50052768;5001042023;646;2
50018582;5001062023;646;2
50018574;5001102023;646;2
50018595;5001112023;646;2
50042878;5001122023;646;2
50029274;5001132023;646;2
50300792;5001182023;243;2
50302086;5001242023;243;2
50302078;5001252023;243;2
50301128;5001362023;243;2
50301781;5001372023;243;2
50018608;5001392023;646;1
50018608;5001392023;646;2
50424171;5001492023;243;2
50302159;5001552023;243;2
50302230;5001572023;243;3
50302949;5001592023;243;2
50302949;5001592023;243;3
50300687;5001762023;243;2
50300687;5001762023;243;3
50047286;5001872023;646;2
50047286;5001872023;646;3
50018616;5001882023;646;2
60300451;6000042023;243;3
60300728;6000062023;243;3
60300761;6000072023;243;3
60300132;6000082023;243;3
60300400;6000142023;243;3
60300485;6000152023;243;1
60300591;6000162023;243;1
60300515;6000172023;243;3
60300680;6000182023;243;3
60300841;6000192023;243;3
60300795;6000202023;243;1
60300795;6000202023;243;2
60300795;6000202023;243;3
60300426;6000212023;243;3
60300922;6000242023;243;3
60060315;6000292023;646;1
60060315;6000292023;646;2
60060315;6000292023;646;3
60019949;6000312023;646;1
60019949;6000312023;646;2
60045707;6000322023;646;1
60045707;6000322023;646;2
60033490;6000372023;646;2
60300469;6000402023;243;2
60300736;6000412023;243;2
60432415;6000472023;646;2
60300281;6000482023;243;2
60424836;6000512023;646;2
60424836;6000512023;646;3
60019950;6000522023;646;1
60019950;6000522023;646;2
60019950;6000522023;646;3
60301406;6000532023;243;1
60300094;6000542023;243;2
60300094;6000542023;243;3
60300558;6000552023;243;2
60300558;6000552023;243;3
60300027;6000562023;243;3
60300655;6000572023;243;2
60300655;6000572023;243;3
64020795;6400012023;646;2
64061703;6400032023;646;2
64020791;6400052023;646;2
64020802;6400082023;646;2
64020784;6400092023;646;1
64020784;6400092023;646;2
64020800;6400102023;646;2
64020812;6400112023;646;2
64020786;6400122023;646;2
64300561;6400162023;243;3
64301354;6400172023;243;1
64302156;6400182023;243;2
64302334;6400192023;243;1
64302334;6400192023;243;3
64301630;6400212023;243;2
64300030;6400232023;243;2
64020793;6400242023;646;2
64301486;6400422023;243;1
64301486;6400422023;243;2
64302890;6400442023;243;2
64302890;6400442023;243;3
64302113;6400452023;243;3
64301427;6400462023;243;1
64301427;6400462023;243;2
64302369;6400472023;243;2
64302369;6400472023;243;3
64302377;6400492023;243;2
